[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_36 | palabras=16 | unicas=16
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_40 | palabras=12 | unicas=12
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_44 | palabras=17 | unicas=17
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_48 | palabras=16 | unicas=16
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_52 | palabras=12 | unicas=12
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_56 | palabras=17 | unicas=17
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_60 | palabras=16 | unicas=16
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_64 | palabras=12 | unicas=12
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_68 | palabras=17 | unicas=17
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_72 | palabras=16 | unicas=16
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_76 | palabras=12 | unicas=12
[2026-06-16 17:55:21.137] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_80 | palabras=17 | unicas=17
[2026-06-16 17:55:21.138] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_84 | palabras=16 | unicas=16
[2026-06-16 17:55:21.138] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_88 | palabras=12 | unicas=12
[2026-06-16 17:55:24.718] [INFO] [Rank 3] [Engine] Inicializado rank 3 de 4 procesos
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_4 | palabras=12 | unicas=12
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_8 | palabras=17 | unicas=17
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_12 | palabras=16 | unicas=16
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_16 | palabras=12 | unicas=12
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_20 | palabras=17 | unicas=17
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_24 | palabras=16 | unicas=16
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_28 | palabras=12 | unicas=12
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_32 | palabras=17 | unicas=17
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_36 | palabras=16 | unicas=16
[2026-06-16 17:55:24.732] [INFO] [Rank 3] [Mapper] Map completado: demo_doc_40 | palabras=12 | unicas=12
